,id,latitude,longitude,date_from,date_to,xmin,ymin,xmax,ymax
81,280302_2.0028.159/2,53.343937,20.12318,2020-05-20,2020-05-24,20.11450848321152,53.34148237262835,20.127353155392093,53.34806729667751
82,280302_2.0026.17/6,53.36128,20.1861,2020-05-20,2020-05-24,20.16272505351708,53.35845144732721,20.19513509689685,53.3683805401236
83,281103_2.0026.32/1,53.35337,20.21029,2020-05-20,2020-05-24,20.20603544295477,53.35072085986771,20.213603884475805,53.355713739338185
84,281103_2.0026.128/2,53.352231,20.211657,2020-05-20,2020-05-24,20.20876211393402,53.35095224645118,20.213642327242564,53.35345951700247
85,281103_2.0026.38/1,53.353153,20.215476,2020-05-20,2020-05-24,20.211967958671508,53.351227263028164,20.216805003048098,53.35410742777557
86,281103_2.0003.94/1,53.37181,20.21957,2020-05-20,2020-05-24,20.21658758685789,53.37043978948632,20.222075031514276,53.373086365062136
87,281103_2.0003.95/2,53.372967,20.221061,2020-05-20,2020-05-24,20.218611253850565,53.371414513737314,20.22343519078438,53.37385590378369
88,281103_2.0003.93/2,53.371149,20.218045,2020-05-20,2020-05-24,20.21479589992338,53.3695653584677,20.221242767972,53.372596220852124
89,281103_2.0003.4/1,53.369007,20.232508,2020-05-20,2020-05-24,20.222651441563162,53.361613710374925,20.244011604736,53.374562667909096
90,281103_2.0003.109/1,53.368108,20.224199,2020-05-20,2020-05-24,20.218861475891945,53.364522065837555,20.23002726823177,53.37153769747628
91,281103_2.0019.4/4,53.34534,20.24394,2020-05-20,2020-05-24,20.232169874625217,53.342078083289806,20.252647208322845,53.3496390978233
92,281103_2.0014.27,53.352831,20.236083,2020-05-20,2020-05-24,20.233820170505297,53.350420635228666,20.238026178763466,53.35471131207554
93,281103_2.0014.20/6,53.36121,20.24405,2020-05-20,2020-05-24,20.23852536590692,53.35595901281335,20.24887389381042,53.36690087266289
94,281103_2.0009.769,53.31199,20.31913,2020-05-20,2020-05-24,20.31108394693705,53.30805501616856,20.328165246959248,53.3169956616856
95,281103_2.0013.14/4,53.30584,20.33644,2020-05-20,2020-05-24,20.32841024694583,53.303231533027855,20.350255167976123,53.30983108079656
96,281103_2.0029.15/8,53.309071,20.33983,2020-05-20,2020-05-24,20.332177673378443,53.303231533027855,20.356925197095457,53.31110429971872
97,281103_2.0013.14/3,53.310456,20.343735,2020-05-20,2020-05-24,20.336446930358278,53.30573520582913,20.352844163182482,53.31506315947563
98,281104_5.0019.213,53.350618,20.372911,2020-05-20,2020-05-24,20.370589332749102,53.34715084899858,20.375958289861845,53.35354160606197
99,281104_5.0019.214,53.350861,20.374606,2020-05-20,2020-05-24,20.37258717090501,53.347334937020236,20.376890673199764,53.353642472626895
